"","Comp. 1","Comp. 2","Comp. 3","Comp. 4","Comp. 5","Comp. 6","Comp. 7","Comp. 8"
"ITIH1",1.543,1.4098,1.3803,1.3488,1.3406,1.3431,1.3426,1.3426
"PPIC",1.5307,1.2439,1.2052,1.1776,1.1766,1.1753,1.175,1.1748
"PEBP1",1.5298,1.5315,1.4765,1.4451,1.4384,1.4363,1.436,1.4359
"DCC",1.5281,1.4192,1.4042,1.4077,1.401,1.4004,1.3998,1.3996
"PCDC2",1.5259,1.2181,1.1785,1.1765,1.1696,1.1713,1.1707,1.1707
"ENDD1",1.5244,1.218,1.2679,1.2499,1.247,1.246,1.2454,1.2452
"EFNB3",1.5153,1.5041,1.5885,1.5537,1.552,1.5497,1.551,1.5509
"FSTL5",1.509,1.207,1.1645,1.1664,1.163,1.1615,1.1618,1.1617
"ACTS",1.5073,1.2053,1.1601,1.1506,1.1439,1.1425,1.1425,1.1424
"CBLN4",1.5064,1.2368,1.2937,1.2641,1.2826,1.2806,1.281,1.281
"CNTN2",1.4934,1.2018,1.2063,1.1855,1.1789,1.1771,1.177,1.1768
"PEBP4",1.4858,1.2133,1.1679,1.1437,1.1364,1.1353,1.1348,1.1348
"DSG2",1.4764,1.2107,1.172,1.1455,1.138,1.1364,1.1361,1.1367
"CFAI",1.4653,1.1693,1.1255,1.1044,1.0973,1.1012,1.1007,1.1007
"NRX1A",1.4615,1.2439,1.2169,1.1891,1.1848,1.1833,1.1828,1.1827
"SODE",1.4452,1.1538,1.1153,1.0901,1.0944,1.0963,1.0972,1.0972
"C1RL",1.4359,1.1976,1.1744,1.2558,1.2536,1.252,1.2516,1.2515
"CBG",1.4072,1.2185,1.1728,1.1561,1.1486,1.149,1.1491,1.1489
"PRG4",1.4058,1.1232,1.0814,1.0587,1.0562,1.0583,1.0611,1.0609
"PHLD",1.4047,1.1645,1.1276,1.1409,1.139,1.1373,1.137,1.1369
"FHR2",1.4024,1.1233,1.1945,1.2521,1.2492,1.2474,1.2477,1.2475
"THBG",1.393,1.4885,1.4905,1.4564,1.4477,1.4455,1.4448,1.4447
