"","Comp. 1","Comp. 2","Comp. 3","Comp. 4","Comp. 5","Comp. 6","Comp. 7","Comp. 8"
"CATF",1.0307,0.98857,0.97554,0.97214,0.96994,0.97201,0.97191,0.97193
"VTM2B",1.024,0.97166,0.9594,0.95616,0.95732,0.95658,0.95645,0.95645
"NRP2",1.0184,0.97803,0.96446,0.96146,0.96501,0.96423,0.96414,0.96412
"CATH",1.0181,1.0093,0.99617,0.9964,0.99467,0.99387,0.9938,0.9939
"CD14",1.0162,0.96309,0.96877,0.96657,0.97962,0.9795,0.97935,0.97933
"HV118",1.012,1.1342,1.1185,1.1193,1.1194,1.1186,1.1192,1.1192
"NCAM2",1.0076,0.95516,0.95665,0.95823,0.96447,0.96443,0.96433,0.96432
"KV133",0.98987,0.94018,0.92946,0.93255,0.93052,0.92983,0.93007,0.93007
"LV136",0.98395,0.93337,0.92205,0.91876,0.91994,0.91921,0.91915,0.91919
"CD109",0.98382,0.94431,1,0.99919,1.0062,1.0062,1.0061,1.006
"LSAMP",0.98052,1.0171,1.0263,1.0263,1.0241,1.0241,1.0244,1.0244
"PTPRF",0.97903,0.99559,1.0014,1.0029,1.0043,1.0039,1.0038,1.0038
"IMPA1",0.97651,0.92734,0.92375,0.92202,0.92383,0.92343,0.92334,0.92333
"CRAC1",0.97605,0.92605,0.92571,0.9304,0.93469,0.93537,0.93535,0.93533
"IBP2",0.9758,1.2734,1.2597,1.2587,1.2562,1.2557,1.2556,1.2555
"ECM2",0.97529,0.93955,0.92873,0.9276,0.92719,0.92661,0.92657,0.92654
"PRELP",0.96804,0.92347,0.93754,0.93938,0.93728,0.93792,0.93782,0.9378
"C4BPA",0.96706,1.079,1.1027,1.0991,1.1023,1.1064,1.1063,1.1062
"LV327",0.96234,0.91214,0.90166,0.89845,0.8964,0.89567,0.89585,0.8959
"LFNG",0.95891,0.91424,0.94523,0.95299,0.95086,0.95129,0.9512,0.95123
"COFA1",0.9475,0.91627,0.91387,0.91275,0.91075,0.91031,0.91021,0.91019
"NEO1",0.94734,0.94088,0.956,0.95457,0.9589,0.95993,0.9598,0.95981
"KVD29",0.94334,0.98301,0.97537,0.97248,0.9705,0.96977,0.97,0.97004
"AEBP1",0.9409,0.89532,0.88332,0.88017,0.88771,0.88764,0.88758,0.88756
"MRC1",0.93929,0.89755,0.90529,0.90556,0.90833,0.90842,0.90897,0.90895
"CSPG4",0.93659,0.89628,0.8847,0.88771,0.88582,0.88545,0.88532,0.88529
"CATD",0.93605,0.89121,0.93016,0.93833,0.9373,0.93911,0.93899,0.93897
"GGH",0.93332,0.88507,0.87332,0.87153,0.87722,0.87706,0.87732,0.8773
"CADM2",0.92371,0.87573,0.86968,0.86839,0.868,0.87121,0.87118,0.87124
"HRG",0.92282,0.97526,0.9971,0.99972,1.0072,1.0065,1.0064,1.0064
"KCC2B",0.92085,0.98822,0.97733,0.97457,0.97255,0.97336,0.97329,0.97327
"PMGT1",0.91909,0.97244,0.98553,0.98401,0.99585,0.99505,0.9949,0.99489
"ISLR",0.91896,0.88837,0.88185,0.8915,0.89249,0.89186,0.89194,0.89192
"SCG1",0.91801,0.94957,0.96687,0.96411,0.96196,0.96118,0.96107,0.96106
"TSP2",0.91459,0.87514,0.86321,0.86147,0.8595,0.86313,0.86301,0.86302
"ENDD1",0.91436,0.86659,0.85457,0.85764,0.86067,0.86027,0.86014,0.86019
"APOC1",0.90832,0.91919,0.90667,0.90898,0.90813,0.90956,0.90988,0.90986
"LV861",0.90746,0.87217,0.89363,0.89421,0.89318,0.89249,0.89242,0.89259
"CO1A2",0.90406,0.88616,0.87562,0.87651,0.87589,0.87545,0.87557,0.87567
"IGG1",0.90218,1.0182,1.0289,1.0342,1.0319,1.0321,1.0319,1.032
"HV169",0.89778,0.8899,0.87888,0.8767,0.87469,0.87399,0.87402,0.874
"G6PI",0.88869,0.84978,0.84321,0.84034,0.83959,0.83909,0.83973,0.83977
"CATL1",0.88852,0.84214,0.83421,0.83138,0.84263,0.84425,0.84415,0.84415
"HV315",0.87451,0.84681,0.84112,0.84003,0.83811,0.83785,0.83784,0.83782
"SERC",0.87438,0.83719,0.83953,0.83921,0.84341,0.84351,0.84467,0.84465
"VGF",0.85375,0.86716,0.8574,0.85437,0.85271,0.85372,0.85372,0.85377
"KPYM",0.85281,0.80883,0.79853,0.80053,0.80227,0.80184,0.80172,0.80177
"FA5",0.85273,0.89139,0.87903,0.87596,0.87649,0.87605,0.87593,0.8759
"GRIA4",0.84756,0.80737,0.79615,0.79493,0.79926,0.79868,0.80005,0.80003
"CAHD1",0.84527,0.8315,0.82024,0.81765,0.8199,0.81924,0.81962,0.81966
"AFAM",0.84454,1.0405,1.037,1.0451,1.0439,1.0434,1.0434,1.0434
"PGAM1",0.84107,0.79948,0.80897,0.8061,0.80826,0.80763,0.80767,0.80766
"LRC4B",0.83291,0.79798,0.81051,0.81295,0.81174,0.81227,0.81222,0.81222
"CHRD",0.82681,0.78856,0.7832,0.78171,0.78,0.78001,0.77998,0.77998
"ALS",0.82573,0.88143,0.8715,0.86926,0.86833,0.8677,0.86757,0.86757
"ANGT",0.82407,0.93711,0.92518,0.9326,0.93263,0.93192,0.93209,0.93209
"CNTP5",0.82361,0.81619,0.81327,0.83288,0.84029,0.83961,0.83954,0.83955
"CNTFR",0.81494,0.77577,0.78799,0.79983,0.79889,0.79903,0.79891,0.79889
"CD44",0.81306,0.77565,0.83468,0.83615,0.84079,0.84038,0.84025,0.84023
"C1QT3",0.80123,0.75945,0.78455,0.78906,0.78728,0.78949,0.78941,0.78941
"HPT",0.80102,0.75925,0.79454,0.79776,0.80049,0.80038,0.80026,0.80026
"CBLN4",0.79866,0.77115,0.7615,0.7753,0.7756,0.77499,0.77524,0.7753
"FBLN3",0.79849,0.75756,0.86813,0.87451,0.87696,0.87631,0.87618,0.87616
"RELN",0.79709,0.79198,0.8276,0.82661,0.83234,0.8317,0.83157,0.83156
"NEDD1",0.7963,0.87717,0.9044,0.91893,0.92206,0.92165,0.92156,0.92154
